a,b,c,d,e,f
10.233157,10.487122,8.436828,10.955916,17.724133,2
12.553199,5.714749,6.890403,7.145644,11.746967,3
2.511694,5.992573,3.551918,4.114826,2.489101,1
7.034677,7.513220,5.540686,7.945063,5.373821,3
4.096915,8.963299,15.851909,11.886282,10.612661,2
5.827891,5.028124,2.789526,4.925388,4.464043,1
-5.433082,-2.592568,-4.171402,-4.552979,2.846887,4
16.883469,10.967039,10.545750,4.523906,13.582180,2
11.276525,13.659984,13.237294,14.390645,12.527403,2
3.184701,7.999095,6.018277,6.857687,0.980190,3
2.408071,15.306800,13.947397,15.994762,11.703405,5
-3.401632,2.883528,-2.732990,-1.770964,-2.168098,4
15.301808,16.030795,18.362663,13.964199,13.588952,5
7.309849,6.949909,4.185426,2.875590,7.577565,1
12.608533,14.276924,11.678193,13.133676,13.414609,2
-2.918355,-2.170119,-5.030885,-2.976563,9.193563,4
11.952064,5.133528,13.235633,13.554521,3.539141,2
3.955177,3.748146,7.799794,7.390125,5.423924,3
1.185694,7.392843,7.776882,7.715347,5.386984,3
-3.103913,-4.580703,-5.065947,-7.339086,-4.112886,4
12.333767,8.588754,14.642430,9.237729,18.161529,5
12.231349,8.108124,10.535419,9.214081,17.239985,2
10.295373,4.690093,7.022452,6.885589,7.527769,3
4.148287,4.019704,6.899648,3.851813,4.675699,1
-9.935579,0.122517,-2.303466,-5.682569,-7.559008,4
7.146165,-1.318297,9.490653,13.263322,11.583051,2
6.815426,6.919441,7.585137,4.299751,11.597606,3
2.910453,8.208577,4.248297,2.309985,0.610563,3
7.456028,3.532185,5.483282,11.461608,7.364920,3
-0.728056,-7.158631,0.922944,-6.875525,2.879287,4
6.965155,10.437406,11.734166,4.677644,9.106623,3
5.676916,11.673313,13.761506,10.084066,13.271774,2
11.147566,21.766880,4.901209,20.757242,9.972656,5
-3.306114,3.271140,2.471306,-5.676242,-8.770813,4
6.798100,0.854402,8.099772,2.875186,8.438217,3
8.931385,6.451688,15.487706,9.384354,7.324664,2
13.314634,7.172802,7.671723,10.534949,16.025248,2
17.024308,-0.658356,9.597930,22.123973,20.073002,5
11.195795,11.141766,15.254018,11.881025,13.923579,2
8.622309,14.285371,17.074974,12.694863,14.473289,2
12.657384,11.266379,12.272808,12.493645,7.396372,2
7.159885,11.779793,6.225762,10.765308,5.240719,2
-0.680191,0.749535,0.087979,11.160832,-4.986770,4
13.334617,9.042165,9.395785,14.282887,13.235049,2
5.724881,13.769421,10.999197,5.592741,10.589800,3
-3.103264,3.352236,-7.833600,-7.834666,0.653265,4
-0.424124,-13.642667,3.360800,-5.382068,-3.622010,4
4.528500,7.289666,4.571466,11.543090,7.658918,3
16.127027,9.504838,9.723511,13.504655,7.635288,2
8.136947,14.551148,10.072012,10.882269,18.787784,2
5.420929,5.063691,5.372047,9.759880,3.235461,1
6.973466,7.068161,8.245223,13.901062,4.012532,3
5.451297,20.297588,14.444261,18.900407,10.610901,5
3.094659,2.250798,5.066839,4.182110,4.272682,1
14.525009,14.572695,22.613073,15.051260,13.289821,5
7.847525,4.501387,3.418720,10.446508,8.645333,3
8.640894,5.070390,4.261350,7.223400,5.363411,3
3.630184,13.270375,6.910176,8.996766,6.991787,2
13.691868,20.144657,11.119059,17.465701,21.167833,5
18.765917,19.521690,18.327777,9.268830,19.150693,5
2.814085,5.503330,-0.781238,3.067648,3.542909,1
2.398160,5.436813,5.770237,5.121020,5.522035,1
-0.312817,1.613939,-6.110814,-3.849384,-1.372414,4
10.297478,7.985169,6.430091,4.056621,8.658695,3
5.344519,3.064994,4.624839,3.154312,1.746732,1
17.615294,13.978507,20.908620,11.594754,16.924439,5
5.438022,2.990518,4.634812,3.234020,6.516954,1
-4.068647,2.032571,-6.613676,0.757051,-9.540068,4
16.729791,19.981094,3.929129,9.537521,17.667972,5
-1.040895,-4.192356,0.620602,-7.433354,-6.700598,4
-0.505109,-2.976333,-10.270331,-2.828782,-7.969097,4
8.527613,22.361677,12.685988,13.441814,9.939586,5
30.106586,12.977810,11.818480,12.017402,27.296011,5
-6.189204,-1.836999,-2.889629,-0.466948,-11.110777,4
0.726363,10.215278,14.596701,10.727899,11.583846,5
5.120968,4.033211,4.075572,3.801757,4.559530,1
13.490015,15.306591,14.778391,12.394946,11.568171,2
-9.011464,0.662909,-1.870059,-6.082982,-4.979324,4
16.885059,25.402025,13.240064,14.594255,23.324028,5
-3.010496,-4.165405,-5.418425,-3.030534,-5.936200,4
9.722078,16.644812,4.744284,9.617429,9.589313,2
-4.165874,1.748350,-4.346971,-3.856723,-2.926333,4
12.023279,10.452151,18.402574,8.225426,7.798569,2
9.021691,5.914104,11.907951,8.546535,3.679238,3
1.095507,2.786820,2.639926,1.081524,2.410588,1
1.000695,-6.411478,-6.010508,-0.862805,0.155730,4
12.737045,6.132422,8.904247,15.615372,10.506278,2
3.913041,-1.082785,4.504855,2.347104,3.736207,1
5.358178,4.698568,1.433431,7.435895,7.561179,1
6.151680,6.651545,8.793032,4.808260,6.575948,3
19.330649,12.220651,16.597619,15.472064,18.067010,5
7.283488,17.906333,17.490674,15.247161,12.235736,5
3.607604,7.501922,5.652172,9.358881,-0.116837,3
9.234443,2.235940,4.380797,9.036956,9.109500,3
